Variety,Week,Block,vine_wt
Norchip,1,1,346.1
Norchip,1,2,381.22
Norchip,1,3,377.81
Norchip,1,4,364.13
Norchip,2,1,485.2
Norchip,2,2,495.57
Norchip,2,3,541.83
Norchip,2,4,540.11
Norchip,3,1,657.27
Norchip,3,2,558.93
Norchip,3,3,738.02
Norchip,3,4,741.68
Norchip,4,1,723.48
Norchip,4,2,732.65
Norchip,4,3,601.52
Norchip,4,4,570.46
Norchip,5,1,551.27
Norchip,5,2,658.94
Norchip,5,3,900.2
Norchip,5,4,612.12
Russet,1,1,353.7
Russet,1,2,390.48
Russet,1,3,327.38
Russet,1,4,346.85
Russet,2,1,583.3
Russet,2,2,606.19
Russet,2,3,639.84
Russet,2,4,710.32
Russet,3,1,785.67
Russet,3,2,935.36
Russet,3,3,775.48
Russet,3,4,906.61
Russet,4,1,849.46
Russet,4,2,986.13
Russet,4,3,862.31
Russet,4,4,1094.09
Russet,5,1,869.57
Russet,5,2,979.53
Russet,5,3,857.88
Russet,5,4,719.95
